Importing NLTK
Done!
Getting CMUDict
Done!
Getting tagged words from Treebank corpus
         4627650 function calls (4620864 primitive calls) in 6.715 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.002    0.001 lexicon.py:174(parseLexicon)
        1    0.000    0.000    0.187    0.187 __init__.py:106(<module>)
        6    0.000    0.000    0.000    0.000 {built-in method dir}
  318/298    0.000    0.000    0.001    0.000 {built-in method issubclass}
    35/34    0.000    0.000    0.034    0.001 <frozen importlib._bootstrap>:1156(_load_backward_compatible)
        3    0.000    0.000    0.000    0.000 numeric.py:351(extend_all)
     20/8    0.000    0.000    0.001    0.000 abc.py:194(__subclasscheck__)
       40    0.000    0.000    0.001    0.000 grammar.py:387(__init__)
      164    0.000    0.000    0.000    0.000 {built-in method getcwd}
       27    0.000    0.000    0.001    0.000 core.py:834(__init__)
        6    0.000    0.000    0.001    0.000 __init__.py:41(__init__)
        1    0.000    0.000    0.130    0.130 add_newdocs.py:10(<module>)
      156    0.000    0.000    0.000    0.000 sre_parse.py:738(fix_flags)
        2    0.000    0.000    0.001    0.000 grammar.py:455(_calculate_indexes)
        1    0.000    0.000    0.000    0.000 snowball.py:580(EnglishStemmer)
        1    0.000    0.000    0.004    0.004 parse.py:28(<module>)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:8(<module>)
    47/44    0.000    0.000    0.001    0.000 lexicon.py:148(augParseCategory)
        1    0.000    0.000    0.000    0.000 wordnet.py:304(Synset)
      105    0.000    0.000    0.000    0.000 os.py:628(__getitem__)
      510    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
       31    0.000    0.000    0.000    0.000 _inspect.py:159(formatargspec)
        1    0.000    0.000    0.000    0.000 __init__.py:417(Misc)
      441    0.000    0.000    0.000    0.000 ntpath.py:53(_get_bothseps)
      113    0.000    0.000    0.002    0.000 codecs.py:948(getdecoder)
       68    0.000    0.000    0.000    0.000 util.py:42(__init__)
       39    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap>:2102(path_hook_for_FileFinder)
      995    0.000    0.000    0.000    0.000 {built-in method chr}
      413    0.000    0.000    0.000    0.000 sre_parse.py:146(__setitem__)
       61    0.000    0.000    0.000    0.000 _weakrefset.py:36(__init__)
        1    0.000    0.000    0.000    0.000 gzip.py:124(GzipFile)
       16    0.000    0.000    0.000    0.000 functools.py:177(total_ordering)
        1    0.000    0.000    0.000    0.000 _fix.py:21(convert_path)
